cbsa,cbsatitle,year,population,rank,top100,metrosize
17140,"Cincinnati, OH-KY-IN",2018,2212945,29,1,Very Large
17300,"Clarksville, TN-KY ",2018,305825,165,1,Midsized
17460,"Cleveland-Elyria, OH",2018,2057009,33,1,Very Large
17780,"College Station-Bryan, TX",2018,262431,188,1,Midsized
17820,"Colorado Springs, CO",2018,738939,79,1,Large
17900,"Columbia, SC",2018,832666,71,1,Large
17980,"Columbus, GA-AL",2018,317922,159,1,Midsized
18140,"Columbus, OH",2018,2106541,32,1,Very Large
18580,"Corpus Christi, TX",2018,429158,127,1,Midsized
18880,"Crestview-Fort Walton Beach-Destin, FL ",2018,278644,174,1,Midsized
19100,"Dallas-Fort Worth-Arlington, TX",2018,7470158,4,1,Very Large
19340,"Davenport-Moline-Rock Island, IA-IL ",2018,381451,142,1,Midsized
19430,"Dayton-Kettering, OH",2018,806548,73,1,Large
19660,"Deltona-Daytona Beach-Ormond Beach, FL",2018,659605,89,1,Large
19740,"Denver-Aurora-Lakewood, CO",2018,2932415,19,1,Very Large
19780,"Des Moines-West Des Moines, IA",2018,692556,84,1,Large
19820,"Detroit-Warren-Dearborn, MI",2018,4326442,14,1,Very Large
20260,"Duluth, MN-WI ",2018,289457,169,1,Midsized
20500,"Durham-Chapel Hill, NC",2018,635527,93,1,Large
21340,"El Paso, TX",2018,845553,69,1,Large
21500,"Erie, PA",2018,272061,179,1,Midsized
21660,"Eugene-Springfield, OR",2018,379611,143,1,Midsized
21780,"Evansville, IN-KY",2018,314672,160,1,Midsized
22180,"Fayetteville, NC ",2018,521308,108,1,Large
22220,"Fayetteville-Springdale-Rogers, AR",2018,526050,107,1,Large
22420,"Flint, MI ",2018,406892,134,1,Midsized
22660,"Fort Collins, CO",2018,350518,151,1,Midsized
22900,"Fort Smith, AR-OK ",2018,250148,192,1,Midsized
23060,"Fort Wayne, IN",2018,409425,133,1,Midsized
23420,"Fresno, CA",2018,994400,54,1,Large
23540,"Gainesville, FL ",2018,328982,154,1,Midsized
24340,"Grand Rapids-Kentwood, MI",2018,1072458,51,1,Very Large
